sample_id,process_id,nominal_stack_id,nominal_stack_name,split_label,cavity_true_um,L_fft_um,delta_L_nm,H_peak,peak_count,film_HSQ_nominal_nm,film_PSS_nominal_nm,film_SOC_nominal_nm,film_TiO2_nominal_nm,film_HSQ_delta_nm,film_PSS_delta_nm,film_SOC_delta_nm,film_TiO2_delta_nm,film_HSQ_true_nm,film_PSS_true_nm,film_SOC_true_nm,film_TiO2_true_nm
85,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.17,1001.0311984401402,-861.1984401402424,771.8776245117188,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
86,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.172,1001.0311984401402,-859.198440140176,769.468017578125,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
87,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.174,1001.0311984401402,-857.1984401402233,767.188232421875,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
88,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.176,1001.049947502687,-873.9475026869741,765.5919799804688,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
89,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.178,1001.049947502687,-871.9475026870214,764.7463989257812,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
90,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.18,1001.049947502687,-869.9475026870687,764.0975341796875,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
91,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.182,1001.049947502687,-867.9475026870023,763.6921997070312,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
92,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.184,1001.049947502687,-865.9475026870496,763.5764770507812,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
93,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.186,1001.049947502687,-863.9475026869832,763.7852783203125,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
94,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.188,1001.049947502687,-861.9475026870305,764.3333129882812,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
95,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.19,1001.049947502687,-859.9475026869641,765.2084350585938,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
96,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.192,1001.049947502687,-857.9475026870114,766.3665161132812,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
97,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.194,1001.068696565234,-874.6965652339895,768.7330932617188,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
98,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.196,1001.068696565234,-872.6965652339231,771.5222778320312,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
99,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.198,1001.068696565234,-870.6965652339704,774.2750854492188,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
100,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.2,1001.068696565234,-868.696565233904,776.8489379882812,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
101,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.202,1001.068696565234,-866.6965652339513,779.1092529296875,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
